ID,YEAR,MONTH,DAY,HOUR,MINUTE,LATITUDE,LONGITUDE,LOCATION_NAME,COUNTRY,REGION,CAUSE,EVENT_VALIDITY,EQ_MAGNITUDE,EQ_DEPTH,TS_INTENSITY,DAMAGE_TOTAL_DESCRIPTION,HOUSES_TOTAL_DESCRIPTION,DEATHS_TOTAL_DESCRIPTION,URL,COMMENTS
179,1570,2,8,13,,-36.75,-73,CENTRAL CHILE,CHILE,West Coast of South America,Earthquake,Probable Tsunami,8.3,,3,Severe (~>$5 to $24 million),Many (~101 to 1000 houses),Very Many (~1001 or more people),https://www.ngdc.noaa.gov/hazel/view/hazards/tsunami/event-more-info/179,"1570, Feb 8, 09:00 (local time). The ocean near Concepcion, then situated on the ocean shore in the area of the present city of Penco, receded for ten kilometers (several leagues) and then completely inundated the town, completing its destruction and leaving ships on dry land. Several other settlements were completely washed away. Although the majority of the inhabitants managed to save themselves by moving to higher ground after the first strong ebb, more than 2000 persons perished.<P>
The descriptions of the Oct 28, 1562 and Feb 28, 1570 events are very similar. Therefore, it is possible that in reality only one catastrophic tsunami occurred in 1570.
<P>(above from reference #415)
<P>The city was located at its initial site fronting the Bay of Talcahuano, near the present location of Penco. The effects of the shock were comparable to those of the 1835 earthquake. The epicenter was probably offshore and there was a major tsunami. The initial pulse of the tsunami was upward and the population took heed and escaped to high ground. No Spanish settlers were killed. (reference #12425)"
185,1575,12,16,18,30,-39.8,-73.2,SOUTHERN CHILE,CHILE,West Coast of South America,Earthquake,Probable Tsunami,8.5,,2.5,Severe (~>$5 to $24 million),Some (~51 to 100 houses),Very Many (~1001 or more people),https://www.ngdc.noaa.gov/hazel/view/hazards/tsunami/event-more-info/185,"A severe earthquake caused heavy damage in Valdivia, Angol, Nueva Imperial, and damaged the surrounding areas approximately from Villarica to Osorno. Sizeable cracks appeared in the ground and landslides were also recorded, a river flowing from Lake Riniue became blocked in its upper reaches. The dam lasted until April of the following year, when after prolonged rains the water level in the lake rose considerably, causing the dam to burst and resulting in much devastation farther downstream; more than <B>1200 Indians perished</B> and many cattle were lost as well.
The earthquake caused a powerful tsunami in the area of Valdivia, located on a river of the same name about 25 km upstream from its mouth. The earth continued to shake for a quarter of an hour when the water came rushing upstream, reversing the natural flow of the river. The rising water knocked over houses, poles and uprooted trees. Two galleons, riding at anchor in this port were sunk (other accounts said they were washed up on shore). After the ebb, the inhabitants had time to flee to higher ground. <B>About a hundred Indian fishermmen were drowned</B> near the mouth of the Imperial River.
<P>In Concepcion Bay, the tsunami caused no damage. There is no information about the occurrence of this tsunami in other areas.
<BR>
(above from Reference #415)
<P>1575, 3 p.m., Valdivia, magnitude 8.5, 1500 deaths, mostly from the tsunami. (reference #1170)"
216,1605,2,3,,,33,134.9,NANKAIDO,JAPAN,Japan,Earthquake,Definite Tsunami,7.9,,3,Severe (~>$5 to $24 million),Many (~101 to 1000 houses),Very Many (~1001 or more people),https://www.ngdc.noaa.gov/hazel/view/hazards/tsunami/event-more-info/216,"February 3, 1605, Nankaido, 33 N, 134.9 E, magnitude 8.1, tsunami intensity 3, validity 4. 700 houses (41%) at Hiro, Wakayama Prefecture washed away. 3,600 drowned in Shishikui area. Awa, wave height 6-7m. 350 at Kannoura 60 at Sakihama drowned, wave height 5-6 m and 8-10 m, respectively. Total more than 5,000 drowned. (reference #150)
<P>February 3, 1605, 22-23 [local time], 33 N, 134.9 E, magnitude 7.9. (reference #3785)
<P>January 31 (February 3), 1605, 20:00 [local time].
An enormous tsunami with a maximum known rise of water of 30 m was observed on the coast from the Boso Peninsula to the eastern part of Kyushu Island. The eastern part of the Boso Peninsula, the coast of Tokyo Bay, the coast of the prefectures of Kanagawa and Shizouka, and the southeastern coast of Kochi Precture suffered especially heavily...In some catalogs (References #150 and #3785) it is considered that two strong earthquakes occurred almost simultaneously in 1605: one at Tokaido and one at Nankaido with the following approximate epicenter coordinates: 34.3 North, 140.3 East; 33 North, 134.9 East.<br>(reference #414)
<P>In the Keicho Tsunami of February 3, 1605 with the tsunami magnitude m=3 death toll of 5,000 was recorded in all afflicted area of Japan.... There are two separate reports for the 1605 tsunami. In one it is stated 3,800 lives were lost at the Shishikui village and in the other 1,500 lives. However, it has been determined by analyzing temple records that the actual death toll was 138. A death toll of about 350 was counted in Kannoura. Near the Muroto cape almost 400 deaths were recorded and in Misaki the death count totaled 153.
In the 1707 tsunami (reference #3777)"
226,1611,12,2,,,39,144.5,SANRIKU,JAPAN,Japan,Earthquake,Definite Tsunami,8.1,,4,Severe (~>$5 to $24 million),,Very Many (~1001 or more people),https://www.ngdc.noaa.gov/hazel/view/hazards/tsunami/event-more-info/226,"Dec. 2, 1611, 38.2 N, 143.9 E, magnitude 8.1. The tsunami resulting from the earthquake did great damage. The entire northeast shore of Honshu Island, from Sendai bay and to the north, and the southeastern shore of Hokkaido Island, were affected by the tsunami. The length of the coast which suffered damage was greater than in the Sanriku tsunami of 1896. The height of waves was 25 m at Yamada and Taro in Iwate Prefecture. At Date (Uchi'ura bay, Hokkaido Island), 1783 people died. On the coast of the southern part of the Tsugaru Peninsula in Aomori Prefecture, about 3000 people drowned along with many horses. At Taro in Iwate Prefecture, the water advanced 1.2 km inland. There were victims at Senkamatsu village, which is located 4 km from shore, and near Iwanuma, in Miyagi Prefecture. (reference #414)
<P>Tsunami intensity 4. (reference #3785)
<P>Dec. 2, 1611, 39 N, 144.5 E. Total about 5,000 persons drowned. Waves swept 4km inland. (reference #150)
<P>Dec. 2, 1611. Sea waves on the coast of Sanriku and Hokkaido. (reference #1897)
<P>Dec 2, 1611. Sanriku. 38.2 N, 143.8 E, magnitude 8.1. The violent tsunami killed 2,783 persons along the southern coast of Sanriku and over 3,000 of persons and horses along the northern coast of Sanriku. (reference #1065)
<P>Dec. 2, 1611. Japan. Great sea waves flooded Yamada, a town 220 meters from the coast. Also Sanriku and Hokkaido. Wave at least 100 feet high at Koyatori. Forty-eight hundred lives lost. (reference #132)"
337,1687,10,20,10,30,-13.5,-76.5,S. PERU,PERU,West Coast of South America,Earthquake,Definite Tsunami,8.5,30,3.5,Severe (~>$5 to $24 million),,Very Many (~1001 or more people),https://www.ngdc.noaa.gov/hazel/view/hazards/tsunami/event-more-info/337,"1687 (erroneously 1690), Oct 20. Very strong earthquakes were felt in the Lima area. <P>The vessel on which L. Vafer was sailing, about 600 km from shore at 12 deg 30 min S, experienced a severe seaquake, during which several sailors were thrown from their hammocks and the usual green color of the sea water appeared to turn white. But when it was scooped up, it became clear that it was mixed with sand.<P>According to the testimony of Captain Forster of the vessel Davis, the seaquake was felt even at 1800 km from shore.<P>The sea flooded the coast between Chancay and Arequipa. In Pisco the sea receded for a distance of 8 km (2 leagues), or, according to other information, for 2 km. The terrified inhabitants fled to the mountains, but some of the brave ones returned to see what was happening on the shore. While they were there, the sea level rose quickly and advanced ""in a frenzy"" without giving the observers a chance to escape, and thus they perished. The town was inundated and the sea advanced inland. Where the town once was, is now a bay in which ships lie at anchor. The town was rebuilt 1 km from the ocean shore. According to other reports, all houses in the town were washed away, but the more solidly constructed fortifications stood up. In Canete and Chincha, a similar inundation destroyed the warehouses in which 140 tons of mercury were stored and awaiting shipment to Acapulco. Chorrilos and Chancay were also inundated. <P>In Callao, the sea receded 2 km from shore, or, according to other data, far enough that the water was hardly visible. After some time the sea level rose, rushing in like a mountain of water, submerging the port and city of Callao and tossing vessels 4 km inland. This flood claimed both people and livestock along a coastal area of 200 km. In Callao and vicinity about 500 persons perished.<P>In all, <B>5000 persons perished as a result of the earthquake and tsunami</B>.<P>The area affected by the earthquake failed to produce wheat crops for a long time (40 years), and so the ground had to be planted with lucerne and sugar cane.<P>The tsunami which was generated at the time of the earthquake reached the northeast shore of the island of Honshu. It was at Kamaishi (Iwate prefecture) on Oct 22 that 12 or 13 waves with a height of 0.5 m were observed. On the island of Okinawa (Ryukyu Island), three unusual waves were recorded on Oct 22 between 02:00 and 03:00 in the morning.<P>1682, Oct 19 (about 04:00 local time). In Pisco, the ocean receded to a point 2 km from the shore, only to rise with such force that the water advanced almost 2 km beyond its usual high mark. Many people who had followed the receding tide earlier now perished under the onslaught of the rising sea. The town was rebuilt about 1 km from the shore. <b>[Evidently, the year must be in error, and this tsunami is the same as that of 20.X.1687.]</b><P>1686. In 1686 there was a terrible earthquake in Chile...  changing the course of rivers and resulting in the inundation and destruction of towns. [Evidently, contradictory information, and the reference is to the tsunami of 20.X.1687]. <P>(above from ref #415)<P>1687, Oct 20 11:30 UTC. 15.2 S, 75.9 W, depth 28 km, intensity X, tsunami, casualties. (ref #1208)<P>1687, Oct 20. Destruction of churches and almost all Lima in ruins. The Governor Palace seriously damaged, more than 200 dead. Tsunami waves caused ruins and another neighboring harbor. (ref #1102)<P>1687, Oct 20. 13.5 S, 76.5 W, magnitude 8.5 MS, runup height 8, tsunami intensity 3, validity 4. (ref #552)
<P>1687, Oct. 20. Peru. Earthquake felt at Callao and Lima, and along a stretch of coast. At Callao the sea retreated and returned with great violence. The town and market were destroyed. (ref #39)<P>1687, Oct 20. 18:30 local time, 13.5 S, 77.5 W, magnitude 8.5. Kamaishi, Sanriku tsunami 50 cm high. Ayukawa 2 m, Okinawa tsunami, Sept. 17, 1-3h, Teikyo 4. (ref #150)"
367,1703,12,30,17,,34.7,139.8,OFF SW BOSO PENINSULA,JAPAN,Japan,Earthquake,Definite Tsunami,8.2,,3,Extreme (~$25 million or more),Very Many (~1001 or more houses),Very Many (~1001 or more people),https://www.ngdc.noaa.gov/hazel/view/hazards/tsunami/event-more-info/367,"<P><blockquote><i>Reference #414:</i></blockquote> 
<P>December 31, 1703, about 2:00 local time. The tsunami which arose after the earthquake was observed from the Sanriku Coast to the Kii Peninsula and on the Bonin islands. There were dead and injured on the Sanriku Coast. The tsunami was especially strong on the coast of Chiba Prefecture, where it caused great destruction, and on the northwestern shore of Sagami Gulf. The tsunami caused numerous human victims in Chiba Prefecture on the eastern shore of the Boso Peninsula (Kujukuri Region), on a stretch of about 400 km... The source of the earthquake and tsunami apparently was situated  to the southeast of the Boso Peninsula. Some settlements suffered not only from this earthquake and tsunami, but also from the large fires which broke out as a result of the shocks. An especially large fire broke out at Odawara. In Kanagawa and Shizuoka Prefectures, in all, 8,007 homes were destroyed, 563 homes burned down, and 2,291 people died (the ulk of the data apply to Kanagawa Prefecture).
<P>In all, according to official data, 20,162 homes suffered damage and 5,233 people died in the country as a result of the seismic shocks, the tsunami, and the fires. 
<P><blockquote><i>Reference #150:</i></blockquote> 
<P>Dec 31, 1703. Damaged area : Sagami Bay coast, Oshima, Hachijo Is and Atami. Several km dried up in East coast of
Boso Penin. 5,233 deaths. 20,162 houses destroyed. <P><blockquote><i>Reference #1897:</i></blockquote> 
<P>Dec. 30, 1703. Sea waves on the coast of Sagami, Awa, and Kazusa; four waves counted."
377,1707,10,28,5,,33.2,134.8,NANKAIDO,JAPAN,Japan,Earthquake,Definite Tsunami,8.4,,4,Extreme (~$25 million or more),Very Many (~1001 or more houses),Very Many (~1001 or more people),https://www.ngdc.noaa.gov/hazel/view/hazards/tsunami/event-more-info/377,"<P><blockquote><i>Reference #150:</i></blockquote> 
<P>1707, Oct 28. 33.2 N 134.8 E, magnitude 8.4. Tsunami 25.7 m high at Kure, Kochi Prefecture. More than 29,000 houses in total wrecked and washed away and about 30,000 deaths. In Tosa, 11,170 houses washed away and 18,441 persons drowned. About 700 drowned and 603 houses washed away in Osaka. 20 m high at Tanezaki, Tosa, 6.58 at Muroto. Hot springs at Yunomine, Sanji, Ryujin, Seto-Kanayana (Kii) and Dogo (Iyo,145 days) stopped. 
<P><blockquote><i>Reference #414:</i></blockquote> 
<P>The entire coast from the Izu Peninsula to Kyushu Island was affected by the tsunami. The tsunami waves passed through Kii Strait and reached Osaka Bay and the western part of the Inner Sea of Japan (Setonaikai). 
<P>In all, 2,900 homes were destroyed or washed away, and about <b>4,900 people died</b> as the result of the tsunami.
<P><blockquote><i>Reference #1897:</i></blockquote> 
<P>1707, ""Oct. 28. Remarkable great sea waves devastated the Pacific coasts of Kiushiu, Shikoku, and also of Honshin up to Iza to the north. In Susaki, Tosa, eleven or twelve waves were counted in the interval about 3 p.m. to 4 a.m.; at Kochi, the wave reached so far into the land as several km; at the same district, the third wave was the highest. Coasts of the Bay of Osaka were also damaged by waves."" 
<P><blockquote><i>Reference #3777:</i></blockquote> 
<P>In the Hoei Tsunami of October 28, 1707 with m=4, 4,900 lives were lost throughout Japan. The greatest death toll for this tsunami was also recorded on Shikoku island. 
<P><blockquote><i>Reference #3785:</i></blockquote> 
<P>Damages are difficult to access, as literature vary on their assessment. About 59,000 houses were destroyed.  About 18,000 were washed out. <B>Death toll about 5,000</B>.  Lost ships are about 3,900. Considering its heavy earthquake and tsunami affected region. This earthquake/tsunami is similar to the 1854 Ansei earthquake/tsunami, it might be considered the following two earthquakes: Enshunada bay and Kishu Penisula bay."
424,1746,10,29,3,30,-11.996,-77.198,CENTRAL PERU,PERU,West Coast of South America,Earthquake,Definite Tsunami,8,30,3.5,Extreme (~$25 million or more),Very Many (~1001 or more houses),Very Many (~1001 or more people),https://www.ngdc.noaa.gov/hazel/view/hazards/tsunami/event-more-info/424,"On October 28, 1746 (erroneously 1724), at 22:30 [Local Time] in Lima, a rumbling sound was accompanied by strong shocks. In 3-4 minutes the capital was completely destroyed.  The port of Callao suffered most of all from this catastrophe. Like Lima, Callao consisted mostly of single-storey houses on a low-terrace, whose height was no greater than 3 m (9-10 feet) above the high water mark. The town was enclosed by a fortress wall, whose base was sometimes washed by the strong ocean tides. Normally, the water level at Callao rises 1.4 m (4-5 feet). Up to 5000 persons lived in the town. Callao was damaged by the earthquake to the same degree as Lima. Approximately one half hour after the earthquake, the ocean ""swelled"", rose approximately 10 m, smashed the city wall and inundated the city. When the water receded the majority of houses and other buildings were dislodged from their foundations and washed away. A sizeable portion of the city wall, including the gate, had been carried away by the water. Almost the entire population of the town perished in this disaster. Since the water advanced 4 km inland, it overtook even those who had tried to flee to Lima. Only about 200 persons managed to save themselves by clasping onto wooden objects which were being tossed about between the shore area and the island of San Lorenzo, a distance of more than 8 km away. (reference #415)
<P>In Callao 6000 people were killed by the tsunami and 19 ships including warships were destroyed. (reference #1102)
<P>The city of Callao was destroyed by two waves, one of which was 80 feet high. All the ships in the harbor were either destroyed or washed ashore. Destructive waves also reported from Cavallos, Cuanape, Changay, and Guara. (reference #39)
<P>""The Lima wave finished the destruction of Callao already begun by the earthquake. The sea retired slowly and returned with a roar. It swept everything before it. There were 23 ships in port mostly crushed and sunk, but the largest were carried beyond the walls of the city, four vessels, and left in the fields."" (reference #3903)"
439,1751,5,20,,,37.2,138.1,NW. HONSHU ISLAND,JAPAN,Japan,Earthquake and Landslide,Definite Tsunami,6.6,,1,Extreme (~$25 million or more),Very Many (~1001 or more houses),Very Many (~1001 or more people),https://www.ngdc.noaa.gov/hazel/view/hazards/tsunami/event-more-info/439,"Mouth of River Kuwatori was buried by tsunami. Many landslides took place. More than 5,800 houses destroyed, more than 2,100 deaths. Takada castle destroyed. (reference #150)
<P>1751, May 20, 37.5 138 E, Takada, 2000 deaths, 9100 houses destroyed. (reference #1068)"
487,1766,3,8,,,40.9,140.7,SANRIKU,JAPAN,Japan,Earthquake,Definite Tsunami,6.9,,1,Severe (~>$5 to $24 million),Very Many (~1001 or more houses),Very Many (~1001 or more people),https://www.ngdc.noaa.gov/hazel/view/hazards/tsunami/event-more-info/487,"Tsugaru, Amoroi, Chosi tsunami, 8,200 houses destroyed, 1,700 deaths. Hirosaki castle destroyed. (reference #150)"
76,887,8,2,,,37.5,138.1,NIIGATA,JAPAN,Japan,Earthquake,Probable Tsunami,6.5,,1,,,Very Many (~1001 or more people),https://www.ngdc.noaa.gov/hazel/view/hazards/tsunami/event-more-info/76,"<P><blockquote><i>Reference #414:</i></blockquote> 
<P>Aug 2, 887, at night, 37.5 N, 138.1 E, magnitude 6.5. There was an earthquake on the south coast of Niigata Prefecture. The water flooded a vast area on shore. Thousands of residents drowned.
<P>Probability 2.
<P><blockquote><i>Reference #150:</i></blockquote> 
<P>Aug 2, 887, 37.5 N 138.1 E, magnitude 6.5. Several thousand persons drowned."
83,1026,6,16,,,34.8,131.8,"OFF MASUDA, SHIMANE PREFECTURE",JAPAN,Japan,Earthquake,Probable Tsunami,7.5,,3,Severe (~>$5 to $24 million),Very Many (~1001 or more houses),Very Many (~1001 or more people),https://www.ngdc.noaa.gov/hazel/view/hazards/tsunami/event-more-info/83,"1026, June 16, 23 local time, 34.8 N, 131.8 E, magnitude 7.5. About 3000 houses swept away, more than 1000 deaths. Kamo Island off Masuda sunk. Tsunami attacked the Iwami coast from Kuromatsu to Susa, 6-10 m height around the rivers of Takatsu and Masuda. (reference #150)
<P>1026, May 16, 23-24. (reference #3785)"
116,1341,10,31,,,41,139.5,"JUSANKO, TSUGARU AOMORI PREFECTURE",JAPAN,Japan,Earthquake,Probable Tsunami,7,,2.5,,,Very Many (~1001 or more people),https://www.ngdc.noaa.gov/hazel/view/hazards/tsunami/event-more-info/116,"Oct 31, 1341, 41 N, 139.5 E, magnitude 7. 2600 people drowned at Jusan-minato along the coast of which 860 persons killed and 600 persons killed at the area around the Ewaki river. (reference #150)"
315,1674,2,17,11,30,-3.75,127.75,BANDA SEA,INDONESIA,Indonesia (Pacific Ocean) and Malaysia,Earthquake,Definite Tsunami,6.8,40,1.5,Severe (~>$5 to $24 million),Many (~101 to 1000 houses),Very Many (~1001 or more people),https://www.ngdc.noaa.gov/hazel/view/hazards/tsunami/event-more-info/315,"<P><blockquote><i>Reference #414:</i></blockquote> 
<P>1674, Feb 17, between 19:30 and 20:00 [local time]. There was a very strong earthquake, which affected all Ambon Island and adjacent islands and left human victims... <P>Immediately after the earthquake, a tsunami occurred on the entire coast of Ambon Island. The northwestern shore of Hitu peninsula suffered most of all, especially the region of Ceyt, between Lima (Negrilima) and Hila. Here the water rose 80-100 m that is, to the top of the coastal hills. The trees, including those in the clove plantations, which covered the calcareous coastal slopes at Mamala, Ela, Sinalo, Kaitetto, Ceyt, Loboleu, almost as far as Lima, were uprooted. Only the higher-lying plantations at Nausihola, Wakal and Hitulama escaped destruction.
<P>Everything was so ""jumbled"" onshore that it was unrecognizable. In the region of Loboleu, a coastal strip with the width of a musket shot subsided. The shore became very precipitous between Cety and Hila and at Hila itself, part of the coast also collapsed into the water, carrying with it the settlements of Nukali, Ehalaa, and Wawani.  In all, 2,243 people died on Ambon island as a result of the tsunami.
<P>According to eyewitness accounts, the water rose up like a mountain. First it inundated Loboleu, and then it split into three streams. One of them spread along the coast to the west to Lima and Urien, another to the east to Hila, and the third went out to sea, in the direction to Cape Ryst on Ceram Island, carrying with it trees, houses, domestic livestock and people. The movements of the water were accompanied by a very loud nose. The moving water was black, very dirty and evil smelling; its surface phosphoresced.
<P>According to the eyewitnesses, the surface of the sea in the strait between Ceram and Ambon Islands, was calm, and it was agitated and made a deafening noise only off shore, to the distance of a musket shot. People in a boat not far from shore did not notice anything unusual in the state of the sea; the oscillations in its surface were just as weak and small as usual. On the coast, all the proas and other boats were smashed or carried away by the water. Many fish were tossed up on land.
<P><blockquote><i>Reference #132:</i></blockquote> 
<P>1674, Feb. 17. Dutch East Indies, Amboina (southwest of Ceram Island, which lies southwest of New Guinea). Moderate sea wave except at Hitu, where it was high and caused loss of life. Three waves. Waves smaller at other islands. <P><blockquote><i>Reference #40:</i></blockquote> 
<P>1674, Feb 17. Indonesia, Amboina (03<sup>o</sup>40'S., 128<sup>o</sup>10'E.), (southwest of Ceram, (03<sup>o</sup>00'S., 129<sup>o</sup>00'E.), moderate waves except at Hitu-lama (03<sup>o</sup>36'S., 128<sup>o</sup>09'E.), where high waves caused loss of life. Three waves. Smaller waves noted at other islands, (Heck 1947). 
<P><blockquote><i>Reference #79:</i></blockquote> 
<P>1674, Feb 17. Tsunami observed at Amboina, Hitu, other nearby islands... Sieberg (who gives date as Feb. 12) puts loss of life at 2243 and mentions only Amboina.
<P><blockquote><i>Reference #12751:</i></blockquote>
<P>Lovholt et al. (2012) and Harris and Major (2017) speculated that it was <b>triggered by an earthquake from south of Ambon and a landslide triggered by an earthquake from inside Ambon Bay, respectively</b>. However, no attempt has been made to investigate this event further, particularly to answer why the extreme run-up was observed only on the northern coast of Ambon. Therefore, the primary source of the tsunami and earthquake remains open to question.
<P>More significantly, we have shown that the only way to explain the extreme run-up only on the northern shore of Ambon, and in particular the very narrow lateral extent along the coast over which it occurred, is by attributing the tsunami generation to a submarine landslide."
146,1498,9,20,,,34,138.1,ENSHUNADA SEA,JAPAN,Japan,Earthquake,Definite Tsunami,8.3,,4,Severe (~>$5 to $24 million),Very Many (~1001 or more houses),Very Many (~1001 or more people),https://www.ngdc.noaa.gov/hazel/view/hazards/tsunami/event-more-info/146,"September 20, 1498, about 8:00 [local time]. 34.1 N, 138.2 E, magnitude 8.6, tsunami intensity 3. There was a catastrophic earthquake which was felt in the prefectures of Wakayama, Nara, Mie, Aichi, Shizouka, Yamanashi, Kanagawa, Tokyo, Saitama, Chiba, Gumma, Tochigi, Ibaraki and Fukushima. The pleistoseismic zone included the prefectures from Mie to Kanagawa and had a length of about 360 km. However, the main damage was done by the tsunami waves which were observed from the Kii Peninsula to the Miura Peninsula.
<P>At Ominato, Mie Prefecture, 1000 homes were flooded and washed away and 500 people died. The spit, separating Hamana Lake from the sea, was breached. <I>At Kamak'ura, the wave reached the Daibutsu temple; 200 people died. [effects same as 1495]</i> On Hachijo Island, one person died as a result of the tsunami.
<P>(above from Reference #414)
<P>Sept 20, 1498. 34 N, 138.1 E, magnitude 8.3. 19ha in Tsu sunk into sea. 1,000 houses washed away. 5,000 drowned at Ohminato, Ise, 10m in wave height. Waves reached 2km inland in Nishina County, Izu. 26,000 deaths by tsunami at Yaizu area in Suruga Bay. Lake Hamana opened to sea. (reference #150)
<P>Sept 20, 1498. Sea waves on the coasts of Kii, Ise, Mikawa, Suruga, Izu, Sagami; great loss of life. (reference #1897)
<P>Sept 20, 1498. Tokai region, 41,000 deaths. (reference #1051)
<P>It was mentioned that death toll by wash-out was 26,000, but it may be a typo: 260.  Hamana-ko (lake) was slashed by the tsunami and there was a temporary passage to the ocean (henceforth Imagire (now thrashed) became the name of the place)... 1,000 home were washed out in Ise, and 5,000 people drowned... (reference #3785)"
57,744,6,30,,,32.4,130.5,SW. KYUSHU ISLAND,JAPAN,Japan,Earthquake,Definite Tsunami,6.4,,2,Severe (~>$5 to $24 million),Many (~101 to 1000 houses),Very Many (~1001 or more people),https://www.ngdc.noaa.gov/hazel/view/hazards/tsunami/event-more-info/57,"744, June 30. 32.4 N, 130.5 E, magnitude 6.4. 1,520 persons drowned and 470 houses washed away by flood due to heavy rain, and tsunamis due to earthquake. Landslides in more than 280 places. Shimabara, Yatsushiro, Higo (Kumamoto
Pref.) (from reference #150)"
484,1765,5,,,,23.12,113.25,SOUTH CHINA SEA,CHINA,"China, North and South Korea, Philippines, Taiwan",Unknown,Very Doubtful Tsunami,,,2,,Very Many (~1001 or more houses),Very Many (~1001 or more people),https://www.ngdc.noaa.gov/hazel/view/hazards/tsunami/event-more-info/484,"<P><blockquote><i>Reference #414:</i></blockquote> 
<P>1765, May, end of the month, validity 2. There were waves 9 m high (?) near Kwangchow (China). The sea suddenly rose and washed away 10,000 people. There was no earthquake. This was probably a wave of meteorological origin. 
<P>[<B>In Berninghausen's opinion (ref #40), which is shared by Cox (ref #2689), this and the description of event in 1765 November 22 (in Macao) relate to the same incident.</B>]
<P><blockquote><i>Reference #40:</i></blockquote> 
<P>1765, May, end of month. China. The sea suddenly rose 9 meters (30 feet) near Canton (23<sup>o</sup>07'N., 113<sup>o</sup>15'E.) and swept away 10,000 of the inhabitants. No earthquake was reported, (Mallet and Mallet 1858). 
<P><blockquote><i>Reference #1879:</i></blockquote> 
<P>1765, May. At the end of this month the sea suddenly rose 30 feet near Canton in China, and swept away 10,000 of the inhabitants. No earthquake mentioned. 
<P><blockquote><i>Reference #79:</i></blockquote> 
<P>1765, May. S. China Sea. Wave height 9 m near Canton. Sea suddenly rose and swept away 10,000 persons. No quake reported. Possibly meteorological in origin. 
<P><blockquote><i>Reference #150:</i></blockquote> 
<P>1765, May, validity 1. S. China. Sea suddenly rose and swept away 10,000 persons. No quake.
<P><blockquote><i>Reference #12279:</i></blockquote> 
<P>About the same time the tides rose so high in the neighborhood of Canton, in China, that 4000 houses were swept away, and a whole city, in the next province, where the waters rose thirty feet was swallowed up with 10,000 of its inhabitants."
362,1700,4,1,,,32.7,129.7,NAGASAKI PREFECTURE,JAPAN,Japan,Landslide,Questionable Tsunami,,,2,Moderate (~$1 to $5 million),Many (~101 to 1000 houses),Very Many (~1001 or more people),https://www.ngdc.noaa.gov/hazel/view/hazards/tsunami/event-more-info/362,"Landslide. More than 1,000 deaths. 300 houses washed away. (reference #150)"
